"Geschlecht";"Groesse";"Gewicht";"jare";"alter"
"197";"M";181;77;44.7;47
"198";"W";170;65;22;24
"199";"W";168;63.5;24.7;38
"200";"W";180;62;26.7;34
"201";"W";174;71;24.7;43
"202";"M";198;87;45.3;26
"203";"W";168;69.8;33.3;48
"204";"M";180;93.2;43.3;47
"205";"M";176;92.9;43.3;53
"206";"M";196;109.1;60.7;42
"207";"M";181;102.8;46.7;52
"208";"M";186;115;46.7;59
"209";"M";178;83.9;57.3;53
"210";"M";172;77.7;36;47
"211";"M";183;88;38;61
"212";"M";178;89.3;37.3;58
"213";"M";178;97;52.7;36
"214";"M";180;103.2;58;44
"215";"M";170;82.6;41.3;57
"216";"M";180;99.3;40;63
"217";"M";175;82;36;58
"218";"M";178;100;43.3;50
"219";"M";192;116;42.7;32
"220";"M";186;102;50;51
"221";"M";175;85.1;40;45
"222";"M";193;104.4;52.7;33
"223";"M";178;100.6;48;44
"224";"W";158;75.2;28;49
"225";"M";173;74.5;32;56
"226";"W";160;53.2;23.3;40
"227";"M";180;62.8;39.3;50
"228";"M";174;91.1;40.7;56
"229";"M";165;65.2;39.3;54
"230";"M";180;100.1;55.3;34
"231";"M";175;88;45.3;39
"232";"M";185;77.2;48.7;28
"233";"M";182;120.1;49.3;42
"234";"M";175;65.8;41.3;30
"235";"M";179;86.1;42.7;43
"236";"M";176;94.2;44.7;30
"237";"M";176;78.4;36;31
"238";"W";170;53;20.7;32
"239";"M";176;76.3;36.7;34
"240";"W";178;84.4;23.3;55
"241";"W";163;102.8;16.7;60
"242";"M";161;103.9;33.3;51
"243";"M";189;92.6;59.3;34
"244";"M";181;104.6;40;39
"245";"W";169;62;19.3;47
"246";"M";178;68;29.3;53
"247";"W";167;75;34.7;43
"248";"W";172;78.7;25.3;65
"249";"M";183;82;36.7;50
"250";"W";165;72.4;24.7;43
"251";"W";164;57;29.3;46
"252";"M";176;81.3;41.3;52
"253";"W";160;54.5;16;53
"254";"W";153;52;19.3;56
"255";"M";175;65;34;59
"256";"M";167;64.4;37.3;60
"257";"W";152;64.3;26.7;54
"258";"M";182;81;40.7;21
"259";"W";159;50.5;24.7;41
"260";"W";163;75.2;29.3;45
"261";"M";173;85;43.3;47
"262";"W";158;65;9.8;55
"263";"M";171;70;40.7;58
"264";"W";162;58;30.7;51
"265";"W";175;69;6;62
"266";"W";164;87;14.7;58
"267";"M";176;92;50.7;42
"268";"W";180;65;36.7;49
"269";"W";159;78.6;16.7;59
"270";"M";178;80;32.7;49
"271";"W";162;71.6;20.7;45
"272";"M";163;63;31.3;29
"273";"M";174;85.4;46.7;56
"274";"M";174;62;52;37
"275";"M";190;77.9;45.3;23
"276";"M";178;70.1;39.3;24
"277";"W";159;66.2;24.7;36
"278";"W";168;63.5;28.7;52
"279";"M";186;90.4;46.7;25
"280";"M";182;107.4;30;52
"281";"M";173;94.3;40;46
"282";"M";179;83.7;43.3;52
"283";"M";175;93.1;55.3;36
"284";"W";157;93.1;28.7;56
"285";"M";178;91.3;47.3;39
"286";"M";182;98.1;36;47
"287";"M";176;94;40.7;39
"288";"W";163;101.7;22.7;44
"289";"M";182;83.1;43.3;23
"290";"M";167;76.3;53.3;31
"291";"M";180;99.1;38;58
"292";"M";174;106.3;50.7;50
"293";"M";165;65.3;21.3;42
"294";"M";175;77.7;44.7;30
"295";"M";178;85.2;44.7;55
"296";"M";173;69.6;28;63
"297";"M";200;127.4;54.7;38
"298";"M";178;103;42;44
"299";"W";170;106.2;26.7;51
"300";"W";148;81.1;20.7;56
"301";"W";159;94.2;12;39
"302";"M";182;96.1;49.3;49
